,title,area,pay,time,recently,link,lable
0,"2월28일/남양주 물류창고/출,퇴근 셔틀운행/실지급11만2","

스크랩
서울 노원구
",일급,"
					15:30~00:30
					",5분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68441239&mj_stat=0&optgf=,True
1,2월28일 냉장 풀타임/실지급11만2천원/당일지급/하루가능,"

스크랩
서울 송파구
",일급,"
					15:30~00:30
					",5분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68441233&mj_stat=0&optgf=,True
2,[바로출근/익일지급가능/저녁출근]쿠팡 강서1캠프 장/단,"

스크랩
서울 강서구
",일급,"
					18:30~22:00
					",6분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68428263&mj_stat=0&optgf=,True
3,"소분, 포장 아르바이트","

스크랩
서울 영등포
",시급,"
					시간협의
					",8분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68451778&mj_stat=0&optgf=,True
4,"블로그포스팅 재택알바 (단기알바,부업,투잡가능,사무알","

스크랩
서울 강서구
",건별,"
					시간협의
					",8분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68221432&mj_stat=0&optgf=,True
5,"쿠팡 동탄/하루가능/친구와 함께 가능/초보가능/주간,야","

스크랩
서울 송파구
",일급,"
					18:00~04:00
					",8분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68442303&mj_stat=0&optgf=,True
6,"쿠팡 동탄/하루가능/친구와 함께 가능/초보가능/주간,야","

스크랩
서울 관악구
",일급,"
					18:00~04:00
					",10분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68442287&mj_stat=0&optgf=,True
7,[내일급구] 서울 장지쿠팡_서울/단기/동반 /주간/꿀알바,"

스크랩
서울 관악구
",일급,"
					09:00~18:00
					",10분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68448619&mj_stat=0&optgf=,True
8,[내일급구] 서울 장지쿠팡_서울/단기/동반 /주간/꿀알바,"

스크랩
서울 강동구
",일급,"
					09:00~18:00
					",10분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68448618&mj_stat=0&optgf=,True
9,[내일급구 ] 서울 장지쿠팡 HUB/직영C팀/주간/단기/상차,"

스크랩
서울 중랑구
",일급,"
					09:00~18:00
					",10분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68448617&mj_stat=0&optgf=,True
10,[내일급구 ] 서울 장지쿠팡 HUB/직영C팀/주간/단기/상차,"

스크랩
서울 강동구
",일급,"
					09:00~18:00
					",10분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68448616&mj_stat=0&optgf=,True
11,[내일급구 ] 서울 장지쿠팡 HUB/직영C팀/주간/단기/상차,"

스크랩
서울 송파구
",일급,"
					09:00~18:00
					",10분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68448614&mj_stat=0&optgf=,True
12,[내일급구 ] 서울 장지쿠팡 HUB/직영C팀/주간/단기/상차,"

스크랩
서울 동작구
",일급,"
					09:00~18:00
					",10분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68448613&mj_stat=0&optgf=,True
13,[내일급구] 서울 장지쿠팡_서울/단기/동반 /주간/꿀알바,"

스크랩
서울 송파구
",일급,"
					09:00~18:00
					",10분전,http://www.albamon.com//recruit/view/gi?AL_GI_No=68448612&mj_stat=0&optgf=,True
